Name,URL,Tags
(SAA-C03) 시험 안내서,https://d1.awsstatic.com/ko_KR/training-and-certification/docs-sa-assoc/AWS-Certified-Solutions-Architect-Associate_Exam-Guide.pdf,"시험안내, 출제범위"
Examtopics 1~156번 정리,https://blog.naver.com/PostView.naver?blogId=gam_jaong&logNo=222909260062&parentCategoryNo=&categoryNo=18&viewDate=&isShowPopularPosts=false&from=postList,"덤프, 한국어설명"
덤프 문제별 링크 정리,https://blog.naver.com/imaokiro/223020677877,"덤프, 링크, 설명X"
